match_id,player,row,pts,pts_won,first_in,aces,svc_winners,rally_winners,rally_forced,unforced,dfs
20260521-M-Roland_Garros-Q3-Jesper_De_Jong-Michael_Zheng,Jesper De Jong,BP,11,8,6,1,1,2,2,1,1
20260521-M-Roland_Garros-Q3-Jesper_De_Jong-Michael_Zheng,Michael Zheng,BP,3,3,2,0,1,0,1,0,0
20260521-M-Roland_Garros-Q3-Jesper_De_Jong-Michael_Zheng,Jesper De Jong,GP,13,8,10,1,1,2,1,2,1
20260521-M-Roland_Garros-Q3-Jesper_De_Jong-Michael_Zheng,Michael Zheng,GP,14,10,10,0,1,6,2,2,0
20260521-M-Roland_Garros-Q3-Jesper_De_Jong-Michael_Zheng,Jesper De Jong,Deuce,13,8,6,2,2,2,0,2,0
20260521-M-Roland_Garros-Q3-Jesper_De_Jong-Michael_Zheng,Michael Zheng,Deuce,7,7,2,1,1,1,3,0,0
20260521-M-Roland_Garros-Q3-Jesper_De_Jong-Michael_Zheng,Jesper De Jong,STotal,37,24,22,4,4,6,3,5,2
20260521-M-Roland_Garros-Q3-Jesper_De_Jong-Michael_Zheng,Michael Zheng,STotal,24,20,14,1,3,7,6,2,0
20260517-M-Rome_Masters-F-Casper_Ruud-Jannik_Sinner,Casper Ruud,BP,5,2,2,0,1,1,0,1,0
20260517-M-Rome_Masters-F-Casper_Ruud-Jannik_Sinner,Jannik Sinner,BP,2,1,1,0,0,1,0,1,0
20260517-M-Rome_Masters-F-Casper_Ruud-Jannik_Sinner,Casper Ruud,GP,14,7,10,0,1,4,0,2,1
20260517-M-Rome_Masters-F-Casper_Ruud-Jannik_Sinner,Jannik Sinner,GP,13,9,10,1,3,3,1,2,0
20260517-M-Rome_Masters-F-Casper_Ruud-Jannik_Sinner,Casper Ruud,Deuce,8,6,3,0,1,2,1,1,0
20260517-M-Rome_Masters-F-Casper_Ruud-Jannik_Sinner,Jannik Sinner,Deuce,4,3,2,0,1,2,0,1,0
20260517-M-Rome_Masters-F-Casper_Ruud-Jannik_Sinner,Casper Ruud,STotal,27,15,15,0,3,7,1,4,1
20260517-M-Rome_Masters-F-Casper_Ruud-Jannik_Sinner,Jannik Sinner,STotal,19,13,13,1,4,6,1,4,0
20260511-M-Rome_Masters-R16-Rafael_Jodar-Learner_Tien,Rafael Jodar,BP,1,0,0,0,0,0,0,0,0
20260511-M-Rome_Masters-R16-Rafael_Jodar-Learner_Tien,Learner Tien,BP,8,4,6,0,2,0,1,2,1
20260511-M-Rome_Masters-R16-Rafael_Jodar-Learner_Tien,Rafael Jodar,GP,12,8,8,0,4,1,2,2,0
20260511-M-Rome_Masters-R16-Rafael_Jodar-Learner_Tien,Learner Tien,GP,6,4,5,0,1,0,1,1,0
20260511-M-Rome_Masters-R16-Rafael_Jodar-Learner_Tien,Rafael Jodar,Deuce,3,3,2,0,0,1,0,0,0
20260511-M-Rome_Masters-R16-Rafael_Jodar-Learner_Tien,Learner Tien,Deuce,8,3,6,1,2,0,0,1,0
20260511-M-Rome_Masters-R16-Rafael_Jodar-Learner_Tien,Rafael Jodar,STotal,16,11,10,0,4,2,2,2,0
20260511-M-Rome_Masters-R16-Rafael_Jodar-Learner_Tien,Learner Tien,STotal,22,11,17,1,5,0,2,4,1
20260507-M-Rome_Masters-R128-Stefanos_Tsitsipas-Tomas_Machac,Stefanos Tsitsipas,BP,5,3,3,1,1,0,1,0,0
20260507-M-Rome_Masters-R128-Stefanos_Tsitsipas-Tomas_Machac,Tomas Machac,BP,2,1,1,0,0,0,0,0,1
20260507-M-Rome_Masters-R128-Stefanos_Tsitsipas-Tomas_Machac,Stefanos Tsitsipas,GP,12,9,9,2,6,1,0,1,1
20260507-M-Rome_Masters-R128-Stefanos_Tsitsipas-Tomas_Machac,Tomas Machac,GP,16,10,12,2,6,0,0,4,0
20260507-M-Rome_Masters-R128-Stefanos_Tsitsipas-Tomas_Machac,Stefanos Tsitsipas,Deuce,6,3,4,1,1,0,1,2,0
20260507-M-Rome_Masters-R128-Stefanos_Tsitsipas-Tomas_Machac,Tomas Machac,Deuce,5,4,3,0,0,1,0,0,0
20260507-M-Rome_Masters-R128-Stefanos_Tsitsipas-Tomas_Machac,Stefanos Tsitsipas,STotal,23,15,16,4,8,1,2,3,1
20260507-M-Rome_Masters-R128-Stefanos_Tsitsipas-Tomas_Machac,Tomas Machac,STotal,23,15,16,2,6,1,0,4,1
20260503-M-Madrid_Masters-F-Jannik_Sinner-Alexander_Zverev,Jannik Sinner,BP,0,0,0,0,0,0,0,0,0
20260503-M-Madrid_Masters-F-Jannik_Sinner-Alexander_Zverev,Alexander Zverev,BP,4,0,2,0,0,0,0,2,0
20260503-M-Madrid_Masters-F-Jannik_Sinner-Alexander_Zverev,Jannik Sinner,GP,9,8,5,2,2,2,0,1,0
20260503-M-Madrid_Masters-F-Jannik_Sinner-Alexander_Zverev,Alexander Zverev,GP,6,3,4,1,2,0,0,0,0
20260503-M-Madrid_Masters-F-Jannik_Sinner-Alexander_Zverev,Jannik Sinner,Deuce,1,1,1,0,0,1,0,0,0
20260503-M-Madrid_Masters-F-Jannik_Sinner-Alexander_Zverev,Alexander Zverev,Deuce,0,0,0,0,0,0,0,0,0
20260503-M-Madrid_Masters-F-Jannik_Sinner-Alexander_Zverev,Jannik Sinner,STotal,10,9,6,2,2,3,0,1,0
20260503-M-Madrid_Masters-F-Jannik_Sinner-Alexander_Zverev,Alexander Zverev,STotal,10,3,6,1,2,0,0,2,0
20260501-M-Madrid_Masters-SF-Arthur_Fils-Jannik_Sinner,Arthur Fils,BP,6,3,5,0,3,0,0,1,0
20260501-M-Madrid_Masters-SF-Arthur_Fils-Jannik_Sinner,Jannik Sinner,BP,0,0,0,0,0,0,0,0,0
