match_id,player,row,net_pts,pts_won,net_winner,induced_forced,net_unforced,passed_at_net,passing_shot_induced_forced,total_shots
20260521-M-Roland_Garros-Q3-Jesper_De_Jong-Michael_Zheng,Jesper De Jong,NetPoints,16,13,8,4,1,1,0,80
20260521-M-Roland_Garros-Q3-Jesper_De_Jong-Michael_Zheng,Jesper De Jong,Approach,13,11,6,4,0,1,0,62
20260521-M-Roland_Garros-Q3-Jesper_De_Jong-Michael_Zheng,Jesper De Jong,NetPointsRallies,13,11,6,4,1,1,0,70
20260521-M-Roland_Garros-Q3-Jesper_De_Jong-Michael_Zheng,Jesper De Jong,ApproachRallies,10,9,4,4,0,1,0,52
20260521-M-Roland_Garros-Q3-Jesper_De_Jong-Michael_Zheng,Michael Zheng,NetPoints,11,9,6,2,1,1,0,99
20260521-M-Roland_Garros-Q3-Jesper_De_Jong-Michael_Zheng,Michael Zheng,Approach,5,4,2,2,1,0,0,30
20260521-M-Roland_Garros-Q3-Jesper_De_Jong-Michael_Zheng,Michael Zheng,NetPointsRallies,11,9,6,2,1,1,0,99
20260521-M-Roland_Garros-Q3-Jesper_De_Jong-Michael_Zheng,Michael Zheng,ApproachRallies,5,4,2,2,1,0,0,30
20260517-M-Rome_Masters-F-Casper_Ruud-Jannik_Sinner,Casper Ruud,NetPoints,11,7,4,3,0,4,0,56
20260517-M-Rome_Masters-F-Casper_Ruud-Jannik_Sinner,Casper Ruud,Approach,10,7,4,3,0,3,0,50
20260517-M-Rome_Masters-F-Casper_Ruud-Jannik_Sinner,Casper Ruud,NetPointsRallies,8,5,3,2,0,3,0,40
20260517-M-Rome_Masters-F-Casper_Ruud-Jannik_Sinner,Casper Ruud,ApproachRallies,7,5,3,2,0,2,0,34
20260517-M-Rome_Masters-F-Casper_Ruud-Jannik_Sinner,Jannik Sinner,NetPoints,11,8,4,4,1,2,0,91
20260517-M-Rome_Masters-F-Casper_Ruud-Jannik_Sinner,Jannik Sinner,Approach,8,5,2,3,1,2,0,63
20260517-M-Rome_Masters-F-Casper_Ruud-Jannik_Sinner,Jannik Sinner,NetPointsRallies,10,7,3,4,1,2,0,88
20260517-M-Rome_Masters-F-Casper_Ruud-Jannik_Sinner,Jannik Sinner,ApproachRallies,7,4,1,3,1,2,0,60
20260511-M-Rome_Masters-R16-Rafael_Jodar-Learner_Tien,Rafael Jodar,NetPoints,6,6,2,2,0,0,0,36
20260511-M-Rome_Masters-R16-Rafael_Jodar-Learner_Tien,Rafael Jodar,Approach,2,2,0,2,0,0,0,10
20260511-M-Rome_Masters-R16-Rafael_Jodar-Learner_Tien,Rafael Jodar,NetPointsRallies,6,6,2,2,0,0,0,36
20260511-M-Rome_Masters-R16-Rafael_Jodar-Learner_Tien,Rafael Jodar,ApproachRallies,2,2,0,2,0,0,0,10
20260511-M-Rome_Masters-R16-Rafael_Jodar-Learner_Tien,Learner Tien,NetPoints,2,1,0,1,0,1,0,11
20260511-M-Rome_Masters-R16-Rafael_Jodar-Learner_Tien,Learner Tien,Approach,1,1,0,1,0,0,0,6
20260511-M-Rome_Masters-R16-Rafael_Jodar-Learner_Tien,Learner Tien,NetPointsRallies,2,1,0,1,0,1,0,11
20260511-M-Rome_Masters-R16-Rafael_Jodar-Learner_Tien,Learner Tien,ApproachRallies,1,1,0,1,0,0,0,6
20260507-M-Rome_Masters-R128-Stefanos_Tsitsipas-Tomas_Machac,Stefanos Tsitsipas,NetPoints,10,8,4,4,2,0,0,47
20260507-M-Rome_Masters-R128-Stefanos_Tsitsipas-Tomas_Machac,Stefanos Tsitsipas,Approach,6,4,1,3,2,0,0,31
20260507-M-Rome_Masters-R128-Stefanos_Tsitsipas-Tomas_Machac,Stefanos Tsitsipas,NetPointsRallies,8,7,3,4,1,0,0,42
20260507-M-Rome_Masters-R128-Stefanos_Tsitsipas-Tomas_Machac,Stefanos Tsitsipas,ApproachRallies,4,3,0,3,1,0,0,26
20260507-M-Rome_Masters-R128-Stefanos_Tsitsipas-Tomas_Machac,Tomas Machac,NetPoints,12,11,6,3,1,0,0,65
20260507-M-Rome_Masters-R128-Stefanos_Tsitsipas-Tomas_Machac,Tomas Machac,Approach,9,8,4,3,1,0,0,56
20260507-M-Rome_Masters-R128-Stefanos_Tsitsipas-Tomas_Machac,Tomas Machac,NetPointsRallies,10,10,6,2,0,0,0,60
20260507-M-Rome_Masters-R128-Stefanos_Tsitsipas-Tomas_Machac,Tomas Machac,ApproachRallies,7,7,4,2,0,0,0,51
20260503-M-Madrid_Masters-F-Jannik_Sinner-Alexander_Zverev,Jannik Sinner,NetPoints,6,4,3,1,1,1,0,41
20260503-M-Madrid_Masters-F-Jannik_Sinner-Alexander_Zverev,Jannik Sinner,Approach,3,3,2,1,0,0,0,21
