match_id,server,returner,row,pts,pl1_won,pl1_winners,pl1_forced,pl1_unforced,pl2_won,pl2_winners,pl2_forced,pl2_unforced
20260521-M-Roland_Garros-Q3-Jesper_De_Jong-Michael_Zheng,Jesper De Jong,Michael Zheng,Total,141,64,24,19,21,77,28,24,19
20260521-M-Roland_Garros-Q3-Jesper_De_Jong-Michael_Zheng,Jesper De Jong,Michael Zheng,1-3,72,37,10,16,11,35,10,10,9
20260521-M-Roland_Garros-Q3-Jesper_De_Jong-Michael_Zheng,Jesper De Jong,Michael Zheng,4-6,30,17,9,2,2,13,3,8,6
20260521-M-Roland_Garros-Q3-Jesper_De_Jong-Michael_Zheng,Jesper De Jong,Michael Zheng,7-9,25,7,4,1,4,18,8,6,2
20260521-M-Roland_Garros-Q3-Jesper_De_Jong-Michael_Zheng,Jesper De Jong,Michael Zheng,10,14,3,1,0,4,11,7,0,2
20260521-M-Roland_Garros-Q3-Jesper_De_Jong-Michael_Zheng,Jesper De Jong,Michael Zheng,1-3-1,46,31,10,15,6,15,1,4,6
20260521-M-Roland_Garros-Q3-Jesper_De_Jong-Michael_Zheng,Jesper De Jong,Michael Zheng,4-6-1,14,8,6,0,1,6,0,5,2
20260521-M-Roland_Garros-Q3-Jesper_De_Jong-Michael_Zheng,Jesper De Jong,Michael Zheng,7-9-1,11,5,3,1,1,6,3,2,1
20260521-M-Roland_Garros-Q3-Jesper_De_Jong-Michael_Zheng,Jesper De Jong,Michael Zheng,10-1,9,2,0,0,3,7,4,0,2
20260521-M-Roland_Garros-Q3-Jesper_De_Jong-Michael_Zheng,Michael Zheng,Jesper De Jong,1-3-2,26,20,9,6,3,6,0,1,5
20260521-M-Roland_Garros-Q3-Jesper_De_Jong-Michael_Zheng,Michael Zheng,Jesper De Jong,4-6-2,16,7,3,3,4,9,3,2,1
20260521-M-Roland_Garros-Q3-Jesper_De_Jong-Michael_Zheng,Michael Zheng,Jesper De Jong,7-9-2,14,12,5,4,1,2,1,0,3
20260521-M-Roland_Garros-Q3-Jesper_De_Jong-Michael_Zheng,Michael Zheng,Jesper De Jong,10-2,5,4,3,0,0,1,1,0,1
20260517-M-Rome_Masters-F-Casper_Ruud-Jannik_Sinner,Casper Ruud,Jannik Sinner,Total,119,53,22,13,20,66,27,17,18
20260517-M-Rome_Masters-F-Casper_Ruud-Jannik_Sinner,Casper Ruud,Jannik Sinner,1-3,57,22,9,7,8,35,11,14,6
20260517-M-Rome_Masters-F-Casper_Ruud-Jannik_Sinner,Casper Ruud,Jannik Sinner,4-6,29,16,6,5,5,13,6,2,5
20260517-M-Rome_Masters-F-Casper_Ruud-Jannik_Sinner,Casper Ruud,Jannik Sinner,7-9,15,6,2,0,4,9,4,1,4
20260517-M-Rome_Masters-F-Casper_Ruud-Jannik_Sinner,Casper Ruud,Jannik Sinner,10,18,9,5,1,3,9,6,0,3
20260517-M-Rome_Masters-F-Casper_Ruud-Jannik_Sinner,Casper Ruud,Jannik Sinner,1-3-1,30,20,9,6,7,10,0,1,5
20260517-M-Rome_Masters-F-Casper_Ruud-Jannik_Sinner,Casper Ruud,Jannik Sinner,4-6-1,20,10,5,4,4,10,4,2,1
20260517-M-Rome_Masters-F-Casper_Ruud-Jannik_Sinner,Casper Ruud,Jannik Sinner,7-9-1,6,4,2,0,1,2,1,0,2
20260517-M-Rome_Masters-F-Casper_Ruud-Jannik_Sinner,Casper Ruud,Jannik Sinner,10-1,8,3,1,0,2,5,3,0,2
20260517-M-Rome_Masters-F-Casper_Ruud-Jannik_Sinner,Jannik Sinner,Casper Ruud,1-3-2,27,25,11,13,1,2,0,1,1
20260517-M-Rome_Masters-F-Casper_Ruud-Jannik_Sinner,Jannik Sinner,Casper Ruud,4-6-2,9,3,2,0,4,6,1,1,1
20260517-M-Rome_Masters-F-Casper_Ruud-Jannik_Sinner,Jannik Sinner,Casper Ruud,7-9-2,9,7,3,1,2,2,0,0,3
20260517-M-Rome_Masters-F-Casper_Ruud-Jannik_Sinner,Jannik Sinner,Casper Ruud,10-2,10,4,3,0,1,6,4,1,1
20260511-M-Rome_Masters-R16-Rafael_Jodar-Learner_Tien,Rafael Jodar,Learner Tien,Total,102,60,10,22,19,42,6,17,24
20260511-M-Rome_Masters-R16-Rafael_Jodar-Learner_Tien,Rafael Jodar,Learner Tien,1-3,56,31,4,16,8,25,5,12,7
20260511-M-Rome_Masters-R16-Rafael_Jodar-Learner_Tien,Rafael Jodar,Learner Tien,4-6,28,16,4,4,9,12,0,3,8
