match_id,player,row,shots,pt_ending,winners,induced_forced,unforced,shots_in_pts_won,shots_in_pts_lost
20260521-M-Roland_Garros-Q3-Jesper_De_Jong-Michael_Zheng,Jesper De Jong,F-XC,24,4,2,0,2,7,17
20260521-M-Roland_Garros-Q3-Jesper_De_Jong-Michael_Zheng,Jesper De Jong,F-DTM,17,0,0,0,0,6,11
20260521-M-Roland_Garros-Q3-Jesper_De_Jong-Michael_Zheng,Jesper De Jong,F-DTL,18,4,1,0,3,3,15
20260521-M-Roland_Garros-Q3-Jesper_De_Jong-Michael_Zheng,Jesper De Jong,F-IO,33,11,4,5,2,20,13
20260521-M-Roland_Garros-Q3-Jesper_De_Jong-Michael_Zheng,Jesper De Jong,F-II,10,5,2,0,3,3,7
20260521-M-Roland_Garros-Q3-Jesper_De_Jong-Michael_Zheng,Jesper De Jong,B-XC,49,3,0,1,2,21,28
20260521-M-Roland_Garros-Q3-Jesper_De_Jong-Michael_Zheng,Jesper De Jong,B-DTM,17,1,0,0,1,3,14
20260521-M-Roland_Garros-Q3-Jesper_De_Jong-Michael_Zheng,Jesper De Jong,B-DTL,10,3,0,2,1,3,7
20260521-M-Roland_Garros-Q3-Jesper_De_Jong-Michael_Zheng,Jesper De Jong,S-XC,5,0,0,0,0,1,4
20260521-M-Roland_Garros-Q3-Jesper_De_Jong-Michael_Zheng,Jesper De Jong,S-DTM,1,0,0,0,0,0,1
20260521-M-Roland_Garros-Q3-Jesper_De_Jong-Michael_Zheng,Jesper De Jong,S-DTL,3,0,0,0,0,1,2
20260521-M-Roland_Garros-Q3-Jesper_De_Jong-Michael_Zheng,Michael Zheng,F-XC,45,10,5,2,3,38,7
20260521-M-Roland_Garros-Q3-Jesper_De_Jong-Michael_Zheng,Michael Zheng,F-DTM,11,1,0,1,0,5,6
20260521-M-Roland_Garros-Q3-Jesper_De_Jong-Michael_Zheng,Michael Zheng,F-DTL,12,6,2,1,3,8,4
20260521-M-Roland_Garros-Q3-Jesper_De_Jong-Michael_Zheng,Michael Zheng,F-IO,49,16,9,5,2,36,13
20260521-M-Roland_Garros-Q3-Jesper_De_Jong-Michael_Zheng,Michael Zheng,F-II,13,4,1,2,1,11,2
20260521-M-Roland_Garros-Q3-Jesper_De_Jong-Michael_Zheng,Michael Zheng,B-XC,49,2,0,0,2,29,20
20260521-M-Roland_Garros-Q3-Jesper_De_Jong-Michael_Zheng,Michael Zheng,B-DTM,11,1,0,0,1,6,5
20260521-M-Roland_Garros-Q3-Jesper_De_Jong-Michael_Zheng,Michael Zheng,B-DTL,13,6,2,3,1,9,4
20260521-M-Roland_Garros-Q3-Jesper_De_Jong-Michael_Zheng,Michael Zheng,B-IO,2,0,0,0,0,2,0
20260521-M-Roland_Garros-Q3-Jesper_De_Jong-Michael_Zheng,Michael Zheng,S-XC,3,1,0,0,1,1,2
20260521-M-Roland_Garros-Q3-Jesper_De_Jong-Michael_Zheng,Michael Zheng,S-DTM,1,0,0,0,0,0,1
