match_id,player,row,first_pts,first_pts_won,first_aces,first_unret,first_forced,first_won_lte_3_shots,second_pts,second_pts_won,second_aces,second_unret,second_forced,second_won_lte_3_shots
20260521-M-Roland_Garros-Q3-Jesper_De_Jong-Michael_Zheng,Jesper De Jong,d,25,18,4,1,3,10,17,8,0,0,2,3
20260521-M-Roland_Garros-Q3-Jesper_De_Jong-Michael_Zheng,Jesper De Jong,a,23,15,2,0,4,7,15,5,0,0,0,2
20260521-M-Roland_Garros-Q3-Jesper_De_Jong-Michael_Zheng,Jesper De Jong,4,18,12,0,1,2,5,9,4,0,0,1,2
20260521-M-Roland_Garros-Q3-Jesper_De_Jong-Michael_Zheng,Jesper De Jong,5,1,1,0,0,0,0,4,3,0,0,0,1
20260521-M-Roland_Garros-Q3-Jesper_De_Jong-Michael_Zheng,Jesper De Jong,6,29,20,6,0,5,12,19,6,0,0,1,2
20260521-M-Roland_Garros-Q3-Jesper_De_Jong-Michael_Zheng,Jesper De Jong,4d,6,5,0,1,1,3,2,2,0,0,1,1
20260521-M-Roland_Garros-Q3-Jesper_De_Jong-Michael_Zheng,Jesper De Jong,4a,12,7,0,0,1,2,7,2,0,0,0,1
20260521-M-Roland_Garros-Q3-Jesper_De_Jong-Michael_Zheng,Jesper De Jong,5d,1,1,0,0,0,0,0,0,0,0,0,0
20260521-M-Roland_Garros-Q3-Jesper_De_Jong-Michael_Zheng,Jesper De Jong,5a,0,0,0,0,0,0,4,3,0,0,0,1
20260521-M-Roland_Garros-Q3-Jesper_De_Jong-Michael_Zheng,Jesper De Jong,6d,18,12,4,0,2,7,15,6,0,0,1,2
20260521-M-Roland_Garros-Q3-Jesper_De_Jong-Michael_Zheng,Jesper De Jong,6a,11,8,2,0,3,5,4,0,0,0,0,0
20260521-M-Roland_Garros-Q3-Jesper_De_Jong-Michael_Zheng,Michael Zheng,d,18,13,2,0,2,9,14,9,0,0,0,0
20260521-M-Roland_Garros-Q3-Jesper_De_Jong-Michael_Zheng,Michael Zheng,a,16,14,1,0,2,4,13,7,0,0,0,4
20260521-M-Roland_Garros-Q3-Jesper_De_Jong-Michael_Zheng,Michael Zheng,4,12,11,1,0,2,3,10,5,0,0,0,3
20260521-M-Roland_Garros-Q3-Jesper_De_Jong-Michael_Zheng,Michael Zheng,5,1,1,0,0,0,0,2,1,0,0,0,0
20260521-M-Roland_Garros-Q3-Jesper_De_Jong-Michael_Zheng,Michael Zheng,6,21,15,2,0,2,10,15,10,0,0,0,1
20260521-M-Roland_Garros-Q3-Jesper_De_Jong-Michael_Zheng,Michael Zheng,4d,3,3,0,0,1,1,0,0,0,0,0,0
20260521-M-Roland_Garros-Q3-Jesper_De_Jong-Michael_Zheng,Michael Zheng,4a,9,8,1,0,1,2,10,5,0,0,0,3
20260521-M-Roland_Garros-Q3-Jesper_De_Jong-Michael_Zheng,Michael Zheng,5d,0,0,0,0,0,0,1,0,0,0,0,0
20260521-M-Roland_Garros-Q3-Jesper_De_Jong-Michael_Zheng,Michael Zheng,5a,1,1,0,0,0,0,1,1,0,0,0,0
20260521-M-Roland_Garros-Q3-Jesper_De_Jong-Michael_Zheng,Michael Zheng,6d,15,10,2,0,1,8,13,9,0,0,0,0
20260521-M-Roland_Garros-Q3-Jesper_De_Jong-Michael_Zheng,Michael Zheng,6a,6,5,0,0,1,2,2,1,0,0,0,1
20260517-M-Rome_Masters-F-Casper_Ruud-Jannik_Sinner,Casper Ruud,d,20,14,3,0,4,9,13,8,0,0,1,2
20260517-M-Rome_Masters-F-Casper_Ruud-Jannik_Sinner,Casper Ruud,a,17,10,0,0,0,3,14,5,0,0,0,2
20260517-M-Rome_Masters-F-Casper_Ruud-Jannik_Sinner,Casper Ruud,4,18,12,1,0,0,5,16,6,0,0,1,4
20260517-M-Rome_Masters-F-Casper_Ruud-Jannik_Sinner,Casper Ruud,5,5,3,0,0,2,2,3,3,0,0,0,0
20260517-M-Rome_Masters-F-Casper_Ruud-Jannik_Sinner,Casper Ruud,6,14,9,2,0,2,5,8,4,0,0,0,0
20260517-M-Rome_Masters-F-Casper_Ruud-Jannik_Sinner,Casper Ruud,4d,8,5,1,0,0,3,4,2,0,0,1,2
20260517-M-Rome_Masters-F-Casper_Ruud-Jannik_Sinner,Casper Ruud,4a,10,7,0,0,0,2,12,4,0,0,0,2
20260517-M-Rome_Masters-F-Casper_Ruud-Jannik_Sinner,Casper Ruud,5d,3,3,0,0,2,2,2,2,0,0,0,0
20260517-M-Rome_Masters-F-Casper_Ruud-Jannik_Sinner,Casper Ruud,5a,2,0,0,0,0,0,1,1,0,0,0,0
20260517-M-Rome_Masters-F-Casper_Ruud-Jannik_Sinner,Casper Ruud,6d,9,6,2,0,2,4,7,4,0,0,0,0
20260517-M-Rome_Masters-F-Casper_Ruud-Jannik_Sinner,Casper Ruud,6a,5,3,0,0,0,1,1,0,0,0,0,0
20260517-M-Rome_Masters-F-Casper_Ruud-Jannik_Sinner,Jannik Sinner,d,21,19,1,0,5,12,9,4,0,0,0,0
20260517-M-Rome_Masters-F-Casper_Ruud-Jannik_Sinner,Jannik Sinner,a,14,10,1,0,4,7,11,6,0,0,0,1
20260517-M-Rome_Masters-F-Casper_Ruud-Jannik_Sinner,Jannik Sinner,4,21,20,2,0,9,13,10,6,0,0,0,1
20260517-M-Rome_Masters-F-Casper_Ruud-Jannik_Sinner,Jannik Sinner,5,1,1,0,0,0,0,6,2,0,0,0,0
20260517-M-Rome_Masters-F-Casper_Ruud-Jannik_Sinner,Jannik Sinner,6,13,8,0,0,0,6,4,2,0,0,0,0
20260517-M-Rome_Masters-F-Casper_Ruud-Jannik_Sinner,Jannik Sinner,4d,12,12,1,0,5,7,0,0,0,0,0,0
20260517-M-Rome_Masters-F-Casper_Ruud-Jannik_Sinner,Jannik Sinner,4a,9,8,1,0,4,6,10,6,0,0,0,1
20260517-M-Rome_Masters-F-Casper_Ruud-Jannik_Sinner,Jannik Sinner,5d,1,1,0,0,0,0,5,2,0,0,0,0
20260517-M-Rome_Masters-F-Casper_Ruud-Jannik_Sinner,Jannik Sinner,5a,0,0,0,0,0,0,1,0,0,0,0,0
20260517-M-Rome_Masters-F-Casper_Ruud-Jannik_Sinner,Jannik Sinner,6d,8,6,0,0,0,5,4,2,0,0,0,0
20260517-M-Rome_Masters-F-Casper_Ruud-Jannik_Sinner,Jannik Sinner,6a,5,2,0,0,0,1,0,0,0,0,0,0
20260511-M-Rome_Masters-R16-Rafael_Jodar-Learner_Tien,Rafael Jodar,d,17,14,0,0,4,7,11,8,0,0,1,2
20260511-M-Rome_Masters-R16-Rafael_Jodar-Learner_Tien,Rafael Jodar,a,16,9,0,0,6,6,6,3,0,0,0,0
20260511-M-Rome_Masters-R16-Rafael_Jodar-Learner_Tien,Rafael Jodar,4,14,11,0,0,4,6,10,6,0,0,1,2
20260511-M-Rome_Masters-R16-Rafael_Jodar-Learner_Tien,Rafael Jodar,5,7,4,0,0,3,3,3,3,0,0,0,0
20260511-M-Rome_Masters-R16-Rafael_Jodar-Learner_Tien,Rafael Jodar,6,12,8,0,0,3,4,4,2,0,0,0,0
20260511-M-Rome_Masters-R16-Rafael_Jodar-Learner_Tien,Rafael Jodar,4d,12,10,0,0,3,5,8,5,0,0,1,2
20260511-M-Rome_Masters-R16-Rafael_Jodar-Learner_Tien,Rafael Jodar,4a,2,1,0,0,1,1,2,1,0,0,0,0
20260511-M-Rome_Masters-R16-Rafael_Jodar-Learner_Tien,Rafael Jodar,5d,0,0,0,0,0,0,2,2,0,0,0,0
20260511-M-Rome_Masters-R16-Rafael_Jodar-Learner_Tien,Rafael Jodar,5a,7,4,0,0,3,3,1,1,0,0,0,0
20260511-M-Rome_Masters-R16-Rafael_Jodar-Learner_Tien,Rafael Jodar,6d,5,4,0,0,1,2,1,1,0,0,0,0
20260511-M-Rome_Masters-R16-Rafael_Jodar-Learner_Tien,Rafael Jodar,6a,7,4,0,0,2,2,3,1,0,0,0,0
20260511-M-Rome_Masters-R16-Rafael_Jodar-Learner_Tien,Learner Tien,d,18,10,2,0,3,5,10,5,1,0,1,3
20260511-M-Rome_Masters-R16-Rafael_Jodar-Learner_Tien,Learner Tien,a,17,9,0,0,4,5,7,2,0,0,0,2
20260511-M-Rome_Masters-R16-Rafael_Jodar-Learner_Tien,Learner Tien,4,19,10,2,0,2,5,4,0,0,0,0,0
20260511-M-Rome_Masters-R16-Rafael_Jodar-Learner_Tien,Learner Tien,5,2,2,0,0,0,0,4,2,0,0,1,2
20260511-M-Rome_Masters-R16-Rafael_Jodar-Learner_Tien,Learner Tien,6,14,7,0,0,5,5,9,5,1,0,0,3
20260511-M-Rome_Masters-R16-Rafael_Jodar-Learner_Tien,Learner Tien,4d,8,6,2,0,1,3,1,0,0,0,0,0
20260511-M-Rome_Masters-R16-Rafael_Jodar-Learner_Tien,Learner Tien,4a,11,4,0,0,1,2,3,0,0,0,0,0
20260511-M-Rome_Masters-R16-Rafael_Jodar-Learner_Tien,Learner Tien,5d,1,1,0,0,0,0,2,1,0,0,1,1
20260511-M-Rome_Masters-R16-Rafael_Jodar-Learner_Tien,Learner Tien,5a,1,1,0,0,0,0,2,1,0,0,0,1
20260511-M-Rome_Masters-R16-Rafael_Jodar-Learner_Tien,Learner Tien,6d,9,3,0,0,2,2,7,4,1,0,0,2
20260511-M-Rome_Masters-R16-Rafael_Jodar-Learner_Tien,Learner Tien,6a,5,4,0,0,3,3,2,1,0,0,0,1
20260507-M-Rome_Masters-R128-Stefanos_Tsitsipas-Tomas_Machac,Stefanos Tsitsipas,d,25,18,4,2,5,14,12,9,0,0,0,3
20260507-M-Rome_Masters-R128-Stefanos_Tsitsipas-Tomas_Machac,Stefanos Tsitsipas,a,17,13,4,2,3,11,15,7,0,0,1,2
20260507-M-Rome_Masters-R128-Stefanos_Tsitsipas-Tomas_Machac,Stefanos Tsitsipas,4,16,12,3,0,4,9,10,5,0,0,0,2
20260507-M-Rome_Masters-R128-Stefanos_Tsitsipas-Tomas_Machac,Stefanos Tsitsipas,5,5,2,0,1,1,2,6,4,0,0,1,1
