match_id,server,returner,row,pts,pl1_won,pl1_winners,pl1_forced,pl1_unforced,pl2_won,pl2_winners,pl2_forced,pl2_unforced
20260524-W-Roland_Garros-R128-Mirra_Andreeva-Fiona_Ferro,Mirra Andreeva,Fiona Ferro,Total,105,61,18,21,18,44,11,11,22
20260524-W-Roland_Garros-R128-Mirra_Andreeva-Fiona_Ferro,Mirra Andreeva,Fiona Ferro,1-3,52,29,5,13,11,23,3,5,11
20260524-W-Roland_Garros-R128-Mirra_Andreeva-Fiona_Ferro,Mirra Andreeva,Fiona Ferro,4-6,24,15,4,5,4,9,4,1,6
20260524-W-Roland_Garros-R128-Mirra_Andreeva-Fiona_Ferro,Mirra Andreeva,Fiona Ferro,7-9,18,10,5,2,3,8,2,3,3
20260524-W-Roland_Garros-R128-Mirra_Andreeva-Fiona_Ferro,Mirra Andreeva,Fiona Ferro,10,11,7,4,1,0,4,2,2,2
20260524-W-Roland_Garros-R128-Mirra_Andreeva-Fiona_Ferro,Mirra Andreeva,Fiona Ferro,1-3-1,28,19,4,11,4,9,0,1,4
20260524-W-Roland_Garros-R128-Mirra_Andreeva-Fiona_Ferro,Mirra Andreeva,Fiona Ferro,4-6-1,13,7,1,4,4,6,2,0,2
20260524-W-Roland_Garros-R128-Mirra_Andreeva-Fiona_Ferro,Mirra Andreeva,Fiona Ferro,7-9-1,9,8,4,2,0,1,0,1,2
20260524-W-Roland_Garros-R128-Mirra_Andreeva-Fiona_Ferro,Mirra Andreeva,Fiona Ferro,10-1,6,3,1,1,0,3,1,2,1
20260524-W-Roland_Garros-R128-Mirra_Andreeva-Fiona_Ferro,Fiona Ferro,Mirra Andreeva,1-3-2,24,14,3,4,7,10,1,2,7
20260524-W-Roland_Garros-R128-Mirra_Andreeva-Fiona_Ferro,Fiona Ferro,Mirra Andreeva,4-6-2,11,3,2,1,4,8,3,1,0
20260524-W-Roland_Garros-R128-Mirra_Andreeva-Fiona_Ferro,Fiona Ferro,Mirra Andreeva,7-9-2,9,7,2,2,1,2,1,0,3
20260524-W-Roland_Garros-R128-Mirra_Andreeva-Fiona_Ferro,Fiona Ferro,Mirra Andreeva,10-2,5,1,1,0,1,4,3,0,0
20260512-W-Rome-QF-Coco_Gauff-Mirra_Andreeva,Coco Gauff,Mirra Andreeva,1-3-1,36,24,4,12,7,12,1,0,8
20260512-W-Rome-QF-Coco_Gauff-Mirra_Andreeva,Coco Gauff,Mirra Andreeva,Total,197,102,26,27,36,95,31,24,43
20260512-W-Rome-QF-Coco_Gauff-Mirra_Andreeva,Coco Gauff,Mirra Andreeva,1-3,79,38,4,13,16,41,8,13,15
20260512-W-Rome-QF-Coco_Gauff-Mirra_Andreeva,Coco Gauff,Mirra Andreeva,4-6,55,33,6,9,10,22,7,5,18
20260512-W-Rome-QF-Coco_Gauff-Mirra_Andreeva,Coco Gauff,Mirra Andreeva,7-9,36,19,9,3,4,17,10,3,7
20260512-W-Rome-QF-Coco_Gauff-Mirra_Andreeva,Coco Gauff,Mirra Andreeva,10,27,12,7,2,6,15,6,3,3
20260512-W-Rome-QF-Coco_Gauff-Mirra_Andreeva,Coco Gauff,Mirra Andreeva,4-6-1,24,8,3,3,8,16,6,2,2
20260512-W-Rome-QF-Coco_Gauff-Mirra_Andreeva,Coco Gauff,Mirra Andreeva,7-9-1,21,15,8,3,1,6,3,2,4
20260512-W-Rome-QF-Coco_Gauff-Mirra_Andreeva,Coco Gauff,Mirra Andreeva,10-1,12,4,3,0,3,8,4,1,1
20260512-W-Rome-QF-Coco_Gauff-Mirra_Andreeva,Mirra Andreeva,Coco Gauff,1-3-2,43,29,7,13,7,14,0,1,9
20260512-W-Rome-QF-Coco_Gauff-Mirra_Andreeva,Mirra Andreeva,Coco Gauff,4-6-2,31,6,1,3,16,25,3,6,2
20260512-W-Rome-QF-Coco_Gauff-Mirra_Andreeva,Mirra Andreeva,Coco Gauff,7-9-2,15,11,7,1,3,4,1,0,3
20260512-W-Rome-QF-Coco_Gauff-Mirra_Andreeva,Mirra Andreeva,Coco Gauff,10-2,15,7,2,2,2,8,4,2,3
20260511-W-Rome-R16-Mirra_Andreeva-Elise_Mertens,Mirra Andreeva,Elise Mertens,Total,111,63,23,11,17,48,14,14,25
20260511-W-Rome-R16-Mirra_Andreeva-Elise_Mertens,Mirra Andreeva,Elise Mertens,1-3,61,35,11,6,8,26,5,10,14
20260511-W-Rome-R16-Mirra_Andreeva-Elise_Mertens,Mirra Andreeva,Elise Mertens,4-6,27,15,7,4,6,12,5,1,4
20260511-W-Rome-R16-Mirra_Andreeva-Elise_Mertens,Mirra Andreeva,Elise Mertens,7-9,16,10,4,1,3,6,1,2,5
20260511-W-Rome-R16-Mirra_Andreeva-Elise_Mertens,Mirra Andreeva,Elise Mertens,10,7,3,1,0,0,4,3,1,2
20260511-W-Rome-R16-Mirra_Andreeva-Elise_Mertens,Mirra Andreeva,Elise Mertens,1-3-1,31,23,10,6,5,8,0,0,7
20260511-W-Rome-R16-Mirra_Andreeva-Elise_Mertens,Mirra Andreeva,Elise Mertens,4-6-1,12,5,4,1,3,7,3,1,0
20260511-W-Rome-R16-Mirra_Andreeva-Elise_Mertens,Mirra Andreeva,Elise Mertens,7-9-1,9,7,3,1,2,2,0,0,3
20260511-W-Rome-R16-Mirra_Andreeva-Elise_Mertens,Mirra Andreeva,Elise Mertens,10-1,4,2,1,0,0,2,1,1,1
20260511-W-Rome-R16-Mirra_Andreeva-Elise_Mertens,Elise Mertens,Mirra Andreeva,1-3-2,30,18,5,10,7,12,1,0,3
20260511-W-Rome-R16-Mirra_Andreeva-Elise_Mertens,Elise Mertens,Mirra Andreeva,4-6-2,15,5,2,0,4,10,3,3,3
20260511-W-Rome-R16-Mirra_Andreeva-Elise_Mertens,Elise Mertens,Mirra Andreeva,7-9-2,7,4,1,2,2,3,1,0,1
20260511-W-Rome-R16-Mirra_Andreeva-Elise_Mertens,Elise Mertens,Mirra Andreeva,10-2,3,2,2,0,1,1,0,0,0
20260509-W-Rome-R32-Mirra_Andreeva-Viktorija_Golubic,Mirra Andreeva,Viktorija Golubic,Total,171,98,41,28,37,73,19,14,28
20260509-W-Rome-R32-Mirra_Andreeva-Viktorija_Golubic,Mirra Andreeva,Viktorija Golubic,1-3,59,37,11,15,11,22,1,7,10
20260509-W-Rome-R32-Mirra_Andreeva-Viktorija_Golubic,Mirra Andreeva,Viktorija Golubic,4-6,54,31,15,6,14,23,6,3,10
20260509-W-Rome-R32-Mirra_Andreeva-Viktorija_Golubic,Mirra Andreeva,Viktorija Golubic,7-9,25,14,7,4,5,11,4,2,3
20260509-W-Rome-R32-Mirra_Andreeva-Viktorija_Golubic,Mirra Andreeva,Viktorija Golubic,10,33,16,8,3,7,17,8,2,5
20260509-W-Rome-R32-Mirra_Andreeva-Viktorija_Golubic,Mirra Andreeva,Viktorija Golubic,1-3-1,31,24,7,12,4,7,0,0,5
20260509-W-Rome-R32-Mirra_Andreeva-Viktorija_Golubic,Mirra Andreeva,Viktorija Golubic,4-6-1,32,16,11,2,10,16,3,3,3
20260509-W-Rome-R32-Mirra_Andreeva-Viktorija_Golubic,Mirra Andreeva,Viktorija Golubic,7-9-1,17,11,6,2,1,6,3,2,3
20260509-W-Rome-R32-Mirra_Andreeva-Viktorija_Golubic,Mirra Andreeva,Viktorija Golubic,10-1,18,6,4,1,5,12,5,2,1
20260509-W-Rome-R32-Mirra_Andreeva-Viktorija_Golubic,Viktorija Golubic,Mirra Andreeva,1-3-2,28,15,1,7,5,13,4,3,7
20260509-W-Rome-R32-Mirra_Andreeva-Viktorija_Golubic,Viktorija Golubic,Mirra Andreeva,4-6-2,22,7,3,0,7,15,4,4,4
20260509-W-Rome-R32-Mirra_Andreeva-Viktorija_Golubic,Viktorija Golubic,Mirra Andreeva,7-9-2,8,5,1,0,0,3,1,2,4
20260509-W-Rome-R32-Mirra_Andreeva-Viktorija_Golubic,Viktorija Golubic,Mirra Andreeva,10-2,15,5,3,0,4,10,4,2,2
20260508-W-Rome-R64-Alexandra_Eala-Xin_Yu_Wang,Alexandra Eala,Xin Yu Wang,Total,113,63,11,25,12,50,19,19,23
20260508-W-Rome-R64-Alexandra_Eala-Xin_Yu_Wang,Alexandra Eala,Xin Yu Wang,1-3,58,32,2,17,8,26,7,11,9
20260508-W-Rome-R64-Alexandra_Eala-Xin_Yu_Wang,Alexandra Eala,Xin Yu Wang,4-6,27,14,4,4,3,13,5,5,6
20260508-W-Rome-R64-Alexandra_Eala-Xin_Yu_Wang,Alexandra Eala,Xin Yu Wang,7-9,18,11,3,3,1,7,6,0,5
20260508-W-Rome-R64-Alexandra_Eala-Xin_Yu_Wang,Alexandra Eala,Xin Yu Wang,10,10,6,2,1,0,4,1,3,3
20260508-W-Rome-R64-Alexandra_Eala-Xin_Yu_Wang,Alexandra Eala,Xin Yu Wang,1-3-1,29,23,2,14,4,6,2,0,7
20260508-W-Rome-R64-Alexandra_Eala-Xin_Yu_Wang,Alexandra Eala,Xin Yu Wang,4-6-1,12,2,1,1,3,10,3,4,0
20260508-W-Rome-R64-Alexandra_Eala-Xin_Yu_Wang,Alexandra Eala,Xin Yu Wang,7-9-1,15,9,2,2,1,6,5,0,5
20260508-W-Rome-R64-Alexandra_Eala-Xin_Yu_Wang,Alexandra Eala,Xin Yu Wang,10-1,6,3,0,1,0,3,1,2,2
20260508-W-Rome-R64-Alexandra_Eala-Xin_Yu_Wang,Xin Yu Wang,Alexandra Eala,1-3-2,29,20,5,11,2,9,0,3,4
20260508-W-Rome-R64-Alexandra_Eala-Xin_Yu_Wang,Xin Yu Wang,Alexandra Eala,4-6-2,15,3,2,1,6,12,3,3,0
20260508-W-Rome-R64-Alexandra_Eala-Xin_Yu_Wang,Xin Yu Wang,Alexandra Eala,7-9-2,3,1,1,0,0,2,1,1,0
20260508-W-Rome-R64-Alexandra_Eala-Xin_Yu_Wang,Xin Yu Wang,Alexandra Eala,10-2,4,1,0,1,1,3,2,0,0
20260507-W-Rome-R64-Mirra_Andreeva-Antonia_Ruzic,Mirra Andreeva,Antonia Ruzic,Total,87,58,19,14,12,29,7,9,22
20260507-W-Rome-R64-Mirra_Andreeva-Antonia_Ruzic,Mirra Andreeva,Antonia Ruzic,1-3,40,26,5,11,8,14,0,5,7
20260507-W-Rome-R64-Mirra_Andreeva-Antonia_Ruzic,Mirra Andreeva,Antonia Ruzic,4-6,26,22,10,3,2,4,2,0,9
20260507-W-Rome-R64-Mirra_Andreeva-Antonia_Ruzic,Mirra Andreeva,Antonia Ruzic,7-9,8,2,0,0,1,6,3,2,2
20260507-W-Rome-R64-Mirra_Andreeva-Antonia_Ruzic,Mirra Andreeva,Antonia Ruzic,10,13,8,4,0,1,5,2,2,4
20260507-W-Rome-R64-Mirra_Andreeva-Antonia_Ruzic,Mirra Andreeva,Antonia Ruzic,1-3-1,26,21,5,10,3,5,0,1,6
