match_id,player,row,returnable,shallow,deep,very_deep,unforced,err_net,err_deep,err_wide,err_wide_deep
20260524-W-Roland_Garros-R128-Mirra_Andreeva-Fiona_Ferro,Mirra Andreeva,Total,48,15,28,9,5,1,3,1,0
20260524-W-Roland_Garros-R128-Mirra_Andreeva-Fiona_Ferro,Mirra Andreeva,v1st,30,9,19,8,2,0,1,1,0
20260524-W-Roland_Garros-R128-Mirra_Andreeva-Fiona_Ferro,Mirra Andreeva,v2nd,18,6,9,1,3,1,2,0,0
20260524-W-Roland_Garros-R128-Mirra_Andreeva-Fiona_Ferro,Mirra Andreeva,fh,10,3,7,2,0,0,0,0,0
20260524-W-Roland_Garros-R128-Mirra_Andreeva-Fiona_Ferro,Mirra Andreeva,bh,38,12,21,7,5,1,3,1,0
20260524-W-Roland_Garros-R128-Mirra_Andreeva-Fiona_Ferro,Mirra Andreeva,gs,47,15,27,8,5,1,3,1,0
20260524-W-Roland_Garros-R128-Mirra_Andreeva-Fiona_Ferro,Mirra Andreeva,sl,1,0,1,1,0,0,0,0,0
20260524-W-Roland_Garros-R128-Mirra_Andreeva-Fiona_Ferro,Mirra Andreeva,D,26,10,13,5,3,1,1,1,0
20260524-W-Roland_Garros-R128-Mirra_Andreeva-Fiona_Ferro,Mirra Andreeva,A,22,5,15,4,2,0,2,0,0
20260524-W-Roland_Garros-R128-Mirra_Andreeva-Fiona_Ferro,Mirra Andreeva,4,18,3,13,5,2,0,2,0,0
20260524-W-Roland_Garros-R128-Mirra_Andreeva-Fiona_Ferro,Mirra Andreeva,5,9,2,7,1,0,0,0,0,0
20260524-W-Roland_Garros-R128-Mirra_Andreeva-Fiona_Ferro,Mirra Andreeva,6,21,10,8,3,3,1,1,1,0
20260524-W-Roland_Garros-R128-Mirra_Andreeva-Fiona_Ferro,Mirra Andreeva,4D,6,1,5,2,0,0,0,0,0
20260524-W-Roland_Garros-R128-Mirra_Andreeva-Fiona_Ferro,Mirra Andreeva,4A,12,2,8,3,2,0,2,0,0
20260524-W-Roland_Garros-R128-Mirra_Andreeva-Fiona_Ferro,Mirra Andreeva,5D,2,1,1,0,0,0,0,0,0
20260524-W-Roland_Garros-R128-Mirra_Andreeva-Fiona_Ferro,Mirra Andreeva,5A,7,1,6,1,0,0,0,0,0
20260524-W-Roland_Garros-R128-Mirra_Andreeva-Fiona_Ferro,Mirra Andreeva,6D,18,8,7,3,3,1,1,1,0
20260524-W-Roland_Garros-R128-Mirra_Andreeva-Fiona_Ferro,Mirra Andreeva,6A,3,2,1,0,0,0,0,0,0
20260524-W-Roland_Garros-R128-Mirra_Andreeva-Fiona_Ferro,Fiona Ferro,Total,43,7,33,10,2,1,0,1,0
20260524-W-Roland_Garros-R128-Mirra_Andreeva-Fiona_Ferro,Fiona Ferro,v1st,34,4,28,9,1,1,0,0,0
20260524-W-Roland_Garros-R128-Mirra_Andreeva-Fiona_Ferro,Fiona Ferro,v2nd,9,3,5,1,1,0,0,1,0
20260524-W-Roland_Garros-R128-Mirra_Andreeva-Fiona_Ferro,Fiona Ferro,fh,32,6,23,6,2,1,0,1,0
20260524-W-Roland_Garros-R128-Mirra_Andreeva-Fiona_Ferro,Fiona Ferro,bh,11,1,10,4,0,0,0,0,0
20260524-W-Roland_Garros-R128-Mirra_Andreeva-Fiona_Ferro,Fiona Ferro,gs,39,6,31,10,2,1,0,1,0
20260524-W-Roland_Garros-R128-Mirra_Andreeva-Fiona_Ferro,Fiona Ferro,sl,4,1,2,0,0,0,0,0,0
20260524-W-Roland_Garros-R128-Mirra_Andreeva-Fiona_Ferro,Fiona Ferro,D,20,2,16,5,1,1,0,0,0
20260524-W-Roland_Garros-R128-Mirra_Andreeva-Fiona_Ferro,Fiona Ferro,A,23,5,17,5,1,0,0,1,0
