match_id,player,row,shots,pt_ending,winners,induced_forced,unforced,shots_in_pts_won,shots_in_pts_lost
20260524-W-Roland_Garros-R128-Mirra_Andreeva-Fiona_Ferro,Mirra Andreeva,F-XC,20,4,2,1,1,15,5
20260524-W-Roland_Garros-R128-Mirra_Andreeva-Fiona_Ferro,Mirra Andreeva,F-DTM,10,0,0,0,0,6,4
20260524-W-Roland_Garros-R128-Mirra_Andreeva-Fiona_Ferro,Mirra Andreeva,F-DTL,16,3,1,0,2,12,4
20260524-W-Roland_Garros-R128-Mirra_Andreeva-Fiona_Ferro,Mirra Andreeva,F-IO,22,3,0,3,0,13,9
20260524-W-Roland_Garros-R128-Mirra_Andreeva-Fiona_Ferro,Mirra Andreeva,B-XC,52,7,1,3,3,27,25
20260524-W-Roland_Garros-R128-Mirra_Andreeva-Fiona_Ferro,Mirra Andreeva,B-DTM,9,0,0,0,0,4,5
20260524-W-Roland_Garros-R128-Mirra_Andreeva-Fiona_Ferro,Mirra Andreeva,B-DTL,6,6,1,2,3,3,3
20260524-W-Roland_Garros-R128-Mirra_Andreeva-Fiona_Ferro,Mirra Andreeva,B-IO,8,7,4,0,3,5,3
20260524-W-Roland_Garros-R128-Mirra_Andreeva-Fiona_Ferro,Mirra Andreeva,S-XC,3,0,0,0,0,1,2
20260524-W-Roland_Garros-R128-Mirra_Andreeva-Fiona_Ferro,Mirra Andreeva,S-DTM,2,0,0,0,0,1,1
20260524-W-Roland_Garros-R128-Mirra_Andreeva-Fiona_Ferro,Fiona Ferro,F-XC,20,6,3,0,3,9,11
20260524-W-Roland_Garros-R128-Mirra_Andreeva-Fiona_Ferro,Fiona Ferro,F-DTM,20,1,0,0,1,7,13
20260524-W-Roland_Garros-R128-Mirra_Andreeva-Fiona_Ferro,Fiona Ferro,F-DTL,5,2,0,1,1,2,3
20260524-W-Roland_Garros-R128-Mirra_Andreeva-Fiona_Ferro,Fiona Ferro,F-IO,15,7,3,1,3,9,6
20260524-W-Roland_Garros-R128-Mirra_Andreeva-Fiona_Ferro,Fiona Ferro,F-II,6,4,3,1,0,6,0
20260524-W-Roland_Garros-R128-Mirra_Andreeva-Fiona_Ferro,Fiona Ferro,B-XC,43,6,1,1,4,20,23
20260524-W-Roland_Garros-R128-Mirra_Andreeva-Fiona_Ferro,Fiona Ferro,B-DTM,26,0,0,0,0,10,16
20260524-W-Roland_Garros-R128-Mirra_Andreeva-Fiona_Ferro,Fiona Ferro,B-DTL,15,7,1,1,5,5,10
20260524-W-Roland_Garros-R128-Mirra_Andreeva-Fiona_Ferro,Fiona Ferro,B-IO,7,4,0,3,1,3,4
20260524-W-Roland_Garros-R128-Mirra_Andreeva-Fiona_Ferro,Fiona Ferro,S-XC,2,0,0,0,0,0,2
20260524-W-Roland_Garros-R128-Mirra_Andreeva-Fiona_Ferro,Fiona Ferro,S-DTM,5,0,0,0,0,2,3
20260524-W-Roland_Garros-R128-Mirra_Andreeva-Fiona_Ferro,Fiona Ferro,S-DTL,2,0,0,0,0,0,2
20260512-W-Rome-QF-Coco_Gauff-Mirra_Andreeva,Coco Gauff,F-XC,65,6,0,1,5,28,37
20260512-W-Rome-QF-Coco_Gauff-Mirra_Andreeva,Coco Gauff,F-DTM,43,3,1,1,1,19,24
20260512-W-Rome-QF-Coco_Gauff-Mirra_Andreeva,Coco Gauff,F-DTL,33,8,0,3,5,17,16
20260512-W-Rome-QF-Coco_Gauff-Mirra_Andreeva,Coco Gauff,F-IO,24,4,1,1,2,17,7
20260512-W-Rome-QF-Coco_Gauff-Mirra_Andreeva,Coco Gauff,F-II,1,0,0,0,0,1,0
20260512-W-Rome-QF-Coco_Gauff-Mirra_Andreeva,Coco Gauff,B-XC,79,14,5,3,6,33,46
20260512-W-Rome-QF-Coco_Gauff-Mirra_Andreeva,Coco Gauff,B-DTM,59,8,0,4,4,27,32
20260512-W-Rome-QF-Coco_Gauff-Mirra_Andreeva,Coco Gauff,B-DTL,17,4,1,1,2,10,7
20260512-W-Rome-QF-Coco_Gauff-Mirra_Andreeva,Coco Gauff,B-IO,6,1,1,0,0,5,1
20260512-W-Rome-QF-Coco_Gauff-Mirra_Andreeva,Coco Gauff,S-XC,4,0,0,0,0,2,2
20260512-W-Rome-QF-Coco_Gauff-Mirra_Andreeva,Coco Gauff,S-DTM,9,1,0,0,1,3,6
20260512-W-Rome-QF-Coco_Gauff-Mirra_Andreeva,Coco Gauff,S-DTL,3,0,0,0,0,2,1
20260512-W-Rome-QF-Coco_Gauff-Mirra_Andreeva,Mirra Andreeva,F-XC,74,11,1,4,6,40,34
20260512-W-Rome-QF-Coco_Gauff-Mirra_Andreeva,Mirra Andreeva,F-DTM,28,1,0,0,1,17,11
20260512-W-Rome-QF-Coco_Gauff-Mirra_Andreeva,Mirra Andreeva,F-DTL,37,11,3,2,6,20,17
20260512-W-Rome-QF-Coco_Gauff-Mirra_Andreeva,Mirra Andreeva,F-IO,22,5,1,0,4,9,13
20260512-W-Rome-QF-Coco_Gauff-Mirra_Andreeva,Mirra Andreeva,F-II,2,0,0,0,0,2,0
20260512-W-Rome-QF-Coco_Gauff-Mirra_Andreeva,Mirra Andreeva,B-XC,75,9,3,2,4,40,35
20260512-W-Rome-QF-Coco_Gauff-Mirra_Andreeva,Mirra Andreeva,B-DTM,36,2,0,0,2,14,22
20260512-W-Rome-QF-Coco_Gauff-Mirra_Andreeva,Mirra Andreeva,B-DTL,32,14,4,0,10,12,20
20260512-W-Rome-QF-Coco_Gauff-Mirra_Andreeva,Mirra Andreeva,B-IO,9,5,1,2,2,5,4
20260512-W-Rome-QF-Coco_Gauff-Mirra_Andreeva,Mirra Andreeva,B-II,2,0,0,0,0,1,1
20260512-W-Rome-QF-Coco_Gauff-Mirra_Andreeva,Mirra Andreeva,S-XC,10,0,0,0,0,6,4
20260512-W-Rome-QF-Coco_Gauff-Mirra_Andreeva,Mirra Andreeva,S-DTM,4,0,0,0,0,2,2
20260512-W-Rome-QF-Coco_Gauff-Mirra_Andreeva,Mirra Andreeva,S-DTL,1,0,0,0,0,1,0
20260511-W-Rome-R16-Mirra_Andreeva-Elise_Mertens,Mirra Andreeva,F-XC,16,5,3,1,1,11,5
20260511-W-Rome-R16-Mirra_Andreeva-Elise_Mertens,Mirra Andreeva,F-DTM,6,0,0,0,0,4,2
20260511-W-Rome-R16-Mirra_Andreeva-Elise_Mertens,Mirra Andreeva,F-DTL,10,2,0,1,1,6,4
20260511-W-Rome-R16-Mirra_Andreeva-Elise_Mertens,Mirra Andreeva,F-IO,9,3,1,0,2,5,4
20260511-W-Rome-R16-Mirra_Andreeva-Elise_Mertens,Mirra Andreeva,B-XC,50,10,4,1,5,28,22
20260511-W-Rome-R16-Mirra_Andreeva-Elise_Mertens,Mirra Andreeva,B-DTM,11,0,0,0,0,3,8
20260511-W-Rome-R16-Mirra_Andreeva-Elise_Mertens,Mirra Andreeva,B-DTL,17,7,1,2,4,7,10
20260511-W-Rome-R16-Mirra_Andreeva-Elise_Mertens,Mirra Andreeva,B-IO,4,2,0,2,0,3,1
20260511-W-Rome-R16-Mirra_Andreeva-Elise_Mertens,Mirra Andreeva,S-XC,4,1,0,0,1,2,2
20260511-W-Rome-R16-Mirra_Andreeva-Elise_Mertens,Mirra Andreeva,S-DTM,4,0,0,0,0,2,2
20260511-W-Rome-R16-Mirra_Andreeva-Elise_Mertens,Elise Mertens,F-XC,11,2,0,1,1,6,5
20260511-W-Rome-R16-Mirra_Andreeva-Elise_Mertens,Elise Mertens,F-DTM,10,1,0,1,0,5,5
20260511-W-Rome-R16-Mirra_Andreeva-Elise_Mertens,Elise Mertens,F-DTL,11,2,0,0,2,7,4
20260511-W-Rome-R16-Mirra_Andreeva-Elise_Mertens,Elise Mertens,F-IO,6,2,1,0,1,4,2
20260511-W-Rome-R16-Mirra_Andreeva-Elise_Mertens,Elise Mertens,F-II,1,1,0,1,0,1,0
20260511-W-Rome-R16-Mirra_Andreeva-Elise_Mertens,Elise Mertens,B-XC,51,10,2,1,7,22,29
20260511-W-Rome-R16-Mirra_Andreeva-Elise_Mertens,Elise Mertens,B-DTM,19,3,1,0,2,7,12
20260511-W-Rome-R16-Mirra_Andreeva-Elise_Mertens,Elise Mertens,B-DTL,12,6,1,1,4,4,8
20260511-W-Rome-R16-Mirra_Andreeva-Elise_Mertens,Elise Mertens,B-IO,6,3,0,2,1,3,3
20260511-W-Rome-R16-Mirra_Andreeva-Elise_Mertens,Elise Mertens,S-XC,4,1,0,0,1,0,4
20260511-W-Rome-R16-Mirra_Andreeva-Elise_Mertens,Elise Mertens,S-DTM,2,0,0,0,0,0,2
20260509-W-Rome-R32-Mirra_Andreeva-Viktorija_Golubic,Mirra Andreeva,F-XC,42,7,3,1,3,22,20
20260509-W-Rome-R32-Mirra_Andreeva-Viktorija_Golubic,Mirra Andreeva,F-DTM,21,3,0,1,2,10,11
20260509-W-Rome-R32-Mirra_Andreeva-Viktorija_Golubic,Mirra Andreeva,F-DTL,21,4,1,2,1,14,7
