match_id,player,row,pts,pts_won,aces,unret,forced_err,pts_won_lte_3_shots,first_in,dfs
20260524-W-Roland_Garros-R128-Mirra_Andreeva-Fiona_Ferro,Mirra Andreeva,d,29,19,0,1,4,8,21,4
20260524-W-Roland_Garros-R128-Mirra_Andreeva-Fiona_Ferro,Mirra Andreeva,a,27,18,0,0,4,7,22,0
20260524-W-Roland_Garros-R128-Mirra_Andreeva-Fiona_Ferro,Mirra Andreeva,4,19,13,0,0,1,4,15,2
20260524-W-Roland_Garros-R128-Mirra_Andreeva-Fiona_Ferro,Mirra Andreeva,5,8,5,0,0,0,1,3,0
20260524-W-Roland_Garros-R128-Mirra_Andreeva-Fiona_Ferro,Mirra Andreeva,6,29,19,0,1,7,10,25,2
20260524-W-Roland_Garros-R128-Mirra_Andreeva-Fiona_Ferro,Mirra Andreeva,4d,12,9,0,0,0,2,9,2
20260524-W-Roland_Garros-R128-Mirra_Andreeva-Fiona_Ferro,Mirra Andreeva,4a,7,4,0,0,1,2,6,0
20260524-W-Roland_Garros-R128-Mirra_Andreeva-Fiona_Ferro,Mirra Andreeva,5d,2,1,0,0,0,0,1,0
20260524-W-Roland_Garros-R128-Mirra_Andreeva-Fiona_Ferro,Mirra Andreeva,5a,6,4,0,0,0,1,2,0
20260524-W-Roland_Garros-R128-Mirra_Andreeva-Fiona_Ferro,Mirra Andreeva,6d,15,9,0,1,4,6,11,2
20260524-W-Roland_Garros-R128-Mirra_Andreeva-Fiona_Ferro,Mirra Andreeva,6a,14,10,0,0,3,4,14,0
20260524-W-Roland_Garros-R128-Mirra_Andreeva-Fiona_Ferro,Fiona Ferro,d,26,11,0,0,0,4,13,0
20260524-W-Roland_Garros-R128-Mirra_Andreeva-Fiona_Ferro,Fiona Ferro,a,23,14,0,0,1,5,18,0
20260524-W-Roland_Garros-R128-Mirra_Andreeva-Fiona_Ferro,Fiona Ferro,4,19,12,0,0,1,4,16,0
20260524-W-Roland_Garros-R128-Mirra_Andreeva-Fiona_Ferro,Fiona Ferro,5,9,3,0,0,0,0,6,0
20260524-W-Roland_Garros-R128-Mirra_Andreeva-Fiona_Ferro,Fiona Ferro,6,21,10,0,0,0,5,9,0
20260524-W-Roland_Garros-R128-Mirra_Andreeva-Fiona_Ferro,Fiona Ferro,4d,6,3,0,0,0,0,6,0
20260524-W-Roland_Garros-R128-Mirra_Andreeva-Fiona_Ferro,Fiona Ferro,4a,13,9,0,0,1,4,10,0
20260524-W-Roland_Garros-R128-Mirra_Andreeva-Fiona_Ferro,Fiona Ferro,5d,2,0,0,0,0,0,1,0
20260524-W-Roland_Garros-R128-Mirra_Andreeva-Fiona_Ferro,Fiona Ferro,5a,7,3,0,0,0,0,5,0
20260524-W-Roland_Garros-R128-Mirra_Andreeva-Fiona_Ferro,Fiona Ferro,6d,18,8,0,0,0,4,6,0
20260524-W-Roland_Garros-R128-Mirra_Andreeva-Fiona_Ferro,Fiona Ferro,6a,3,2,0,0,0,1,3,0
20260512-W-Rome-QF-Coco_Gauff-Mirra_Andreeva,Coco Gauff,d,48,24,0,0,4,6,38,3
20260512-W-Rome-QF-Coco_Gauff-Mirra_Andreeva,Coco Gauff,a,45,27,2,1,3,9,29,1
20260512-W-Rome-QF-Coco_Gauff-Mirra_Andreeva,Coco Gauff,4,37,25,0,0,4,7,31,1
20260512-W-Rome-QF-Coco_Gauff-Mirra_Andreeva,Coco Gauff,5,13,6,0,0,0,1,9,1
20260512-W-Rome-QF-Coco_Gauff-Mirra_Andreeva,Coco Gauff,6,43,20,2,1,3,7,27,2
20260512-W-Rome-QF-Coco_Gauff-Mirra_Andreeva,Coco Gauff,4d,24,15,0,0,2,3,22,0
20260512-W-Rome-QF-Coco_Gauff-Mirra_Andreeva,Coco Gauff,4a,13,10,0,0,2,4,9,1
20260512-W-Rome-QF-Coco_Gauff-Mirra_Andreeva,Coco Gauff,5d,4,2,0,0,0,0,3,1
20260512-W-Rome-QF-Coco_Gauff-Mirra_Andreeva,Coco Gauff,5a,9,4,0,0,0,1,6,0
20260512-W-Rome-QF-Coco_Gauff-Mirra_Andreeva,Coco Gauff,6d,20,7,0,0,2,3,13,2
20260512-W-Rome-QF-Coco_Gauff-Mirra_Andreeva,Coco Gauff,6a,23,13,2,1,1,4,14,0
20260512-W-Rome-QF-Coco_Gauff-Mirra_Andreeva,Mirra Andreeva,d,53,25,2,0,7,12,35,5
20260512-W-Rome-QF-Coco_Gauff-Mirra_Andreeva,Mirra Andreeva,a,51,28,1,0,3,9,30,1
20260512-W-Rome-QF-Coco_Gauff-Mirra_Andreeva,Mirra Andreeva,4,36,16,0,0,4,5,26,1
