ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL
1,Brisbane,Brisbane International,2023-12-31,ATP250,Outdoor,Hard,1st Round,3,Popyrin A.,O Connell C.,40,68.0,1084,780.0,6.0,4.0,6.0,7.0,7.0,6.0,,,,,2.0,1.0,Completed,1.62,2.3,1.72,2.23,1.77,2.32,1.68,2.17
1,Brisbane,Brisbane International,2023-12-31,ATP250,Outdoor,Hard,1st Round,3,Shevchenko A.,Van Assche L.,48,90.0,947,687.0,6.0,3.0,6.0,2.0,,,,,,,2.0,0.0,Completed,1.62,2.3,1.78,2.14,1.78,2.32,1.7,2.14
1,Brisbane,Brisbane International,2024-01-01,ATP250,Outdoor,Hard,1st Round,3,Safiullin R.,Shelton B.,39,17.0,1122,2145.0,6.0,3.0,6.0,7.0,6.0,3.0,,,,,2.0,1.0,Completed,2.3,1.62,2.31,1.68,2.32,1.68,2.24,1.63
1,Brisbane,Brisbane International,2024-01-01,ATP250,Outdoor,Hard,1st Round,3,Rune H.,Purcell M.,8,45.0,3660,1012.0,4.0,6.0,6.0,4.0,6.0,2.0,,,,,2.0,1.0,Completed,1.25,4.0,1.32,3.68,1.32,4.01,1.28,3.65
1,Brisbane,Brisbane International,2024-01-01,ATP250,Outdoor,Hard,1st Round,3,Dimitrov G.,Murray A.,14,42.0,2570,1050.0,4.0,6.0,7.0,5.0,6.0,2.0,,,,,2.0,1.0,Completed,1.33,3.4,1.35,3.47,1.36,3.5,1.33,3.25
1,Brisbane,Brisbane International,2024-01-02,ATP250,Outdoor,Hard,1st Round,3,Hanfmann Y.,Korda S.,51,24.0,914,1530.0,7.0,5.0,6.0,4.0,,,,,,,2.0,0.0,Completed,4.5,1.2,4.54,1.25,4.54,1.25,4.16,1.22
1,Brisbane,Brisbane International,2024-01-02,ATP250,Outdoor,Hard,1st Round,3,Klein L.,Baez S.,170,28.0,359,1435.0,4.0,6.0,6.0,3.0,6.0,4.0,,,,,2.0,1.0,Completed,2.0,1.8,2.02,1.88,2.22,1.88,2.04,1.76
1,Brisbane,Brisbane International,2024-01-02,ATP250,Outdoor,Hard,1st Round,3,Duckworth J.,Wolf J.J.,116,53.0,573,910.0,6.0,3.0,6.0,4.0,,,,,,,2.0,0.0,Completed,2.38,1.57,2.21,1.74,2.4,1.74,2.24,1.63
1,Brisbane,Brisbane International,2024-01-02,ATP250,Outdoor,Hard,1st Round,3,Altmaier D.,Tu L.,56,225.0,891,280.0,7.0,6.0,7.0,6.0,,,,,,,2.0,0.0,Completed,1.57,2.38,1.64,2.39,1.64,2.4,1.59,2.32
1,Brisbane,Brisbane International,2024-01-02,ATP250,Outdoor,Hard,1st Round,3,Machac T.,Etcheverry T.,78,30.0,722,1375.0,6.0,7.0,7.0,5.0,7.0,6.0,,,,,2.0,1.0,Completed,1.36,3.2,1.4,3.17,1.41,3.2,1.37,3.02
1,Brisbane,Brisbane International,2024-01-02,ATP250,Outdoor,Hard,1st Round,3,Thompson J.,Vukic A.,55,62.0,902,835.0,6.0,3.0,6.0,2.0,,,,,,,2.0,0.0,Completed,1.57,2.38,1.56,2.58,1.57,2.63,1.54,2.46
1,Brisbane,Brisbane International,2024-01-02,ATP250,Outdoor,Hard,1st Round,3,Kubler J.,Karatsev A.,102,35.0,631,1193.0,6.0,4.0,6.0,7.0,,,,,,,1.0,1.0,Retired,2.75,1.44,2.6,1.55,2.75,1.55,2.58,1.49
1,Brisbane,Brisbane International,2024-01-02,ATP250,Outdoor,Hard,1st Round,3,Arnaldi M.,Fucsovics M.,44,59.0,1021,882.0,6.0,7.0,6.0,4.0,7.0,6.0,,,,,2.0,1.0,Completed,1.91,1.91,2.05,1.85,2.05,2.1,1.82,1.98
1,Brisbane,Brisbane International,2024-01-02,ATP250,Outdoor,Hard,1st Round,3,Nadal R.,Thiem D.,672,98.0,45,652.0,7.0,5.0,6.0,1.0,,,,,,,2.0,0.0,Completed,1.62,2.3,1.6,2.48,1.63,2.48,1.58,2.33
1,Brisbane,Brisbane International,2024-01-02,ATP250,Outdoor,Hard,1st Round,3,Hijikata R.,Kokkinakis T.,71,65.0,744,802.0,7.0,6.0,6.0,2.0,,,,,,,2.0,0.0,Completed,2.63,1.5,2.71,1.52,2.75,1.55,2.57,1.49
1,Brisbane,Brisbane International,2024-01-03,ATP250,Outdoor,Hard,1st Round,3,Humbert U.,Michelsen A.,20,97.0,1765,653.0,6.0,4.0,6.0,4.0,,,,,,,2.0,0.0,Completed,1.4,3.0,1.44,2.97,1.44,3.1,1.4,2.87
1,Brisbane,Brisbane International,2024-01-03,ATP250,Outdoor,Hard,2nd Round,3,Duckworth J.,Hanfmann Y.,116,51.0,573,914.0,4.0,6.0,6.0,1.0,7.0,6.0,,,,,2.0,1.0,Completed,1.91,1.91,1.93,1.98,1.96,1.98,1.89,1.88
1,Brisbane,Brisbane International,2024-01-03,ATP250,Outdoor,Hard,2nd Round,3,Arnaldi M.,Klein L.,44,170.0,1021,359.0,6.0,4.0,3.0,6.0,7.0,5.0,,,,,2.0,1.0,Completed,1.53,2.5,1.61,2.49,1.65,2.6,1.54,2.43
