ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL,BFEW,BFEL
1,Brisbane,Brisbane International,2026-01-04,ATP250,Outdoor,Hard,1st Round,3,Tiafoe F.,Vukic A.,30.0,87.0,1485.0,693.0,6,2,6,2.0,,,,,,,2,0,Completed,1.44,2.75,1.52,2.7,1.53,2.95,1.47,2.63,1.53,2.88
1,Brisbane,Brisbane International,2026-01-04,ATP250,Outdoor,Hard,1st Round,3,Tien L.,Ugo Carabelli C.,26.0,48.0,1540.0,1028.0,7,6,6,3.0,,,,,,,2,0,Completed,1.14,5.5,1.2,5.21,1.18,5.5,1.16,5.06,1.19,6.0
1,Brisbane,Brisbane International,2026-01-05,ATP250,Outdoor,Hard,1st Round,3,Korda S.,Vacherot V.,46.0,31.0,1090.0,1469.0,7,6,6,3.0,,,,,,,2,0,Completed,1.5,2.63,1.54,2.64,1.52,2.75,1.48,2.61,1.56,2.74
1,Brisbane,Brisbane International,2026-01-05,ATP250,Outdoor,Hard,1st Round,3,Michelsen A.,Duckworth J.,37.0,86.0,1300.0,694.0,6,7,7,6.0,6,3,,,,,2,1,Completed,1.73,2.1,1.73,2.22,1.8,2.2,1.71,2.11,1.75,2.28
1,Brisbane,Brisbane International,2026-01-05,ATP250,Outdoor,Hard,1st Round,3,Lehecka J.,Machac T.,19.0,35.0,2075.0,1360.0,6,4,6,7.0,6,2,,,,,2,1,Completed,1.5,2.63,1.52,2.71,1.57,2.75,1.49,2.56,1.54,2.76
1,Brisbane,Brisbane International,2026-01-05,ATP250,Outdoor,Hard,1st Round,3,Majchrzak K.,Altmaier D.,59.0,44.0,861.0,1123.0,7,6,6,0.0,,,,,,,2,0,Completed,1.91,1.91,,,1.95,1.91,1.91,1.84,2.02,1.94
1,Brisbane,Brisbane International,2026-01-05,ATP250,Outdoor,Hard,1st Round,3,Halys Q.,Popyrin A.,91.0,50.0,669.0,1000.0,5,7,6,3.0,6,4,,,,,2,1,Completed,2.5,1.53,2.49,1.6,2.5,1.57,2.4,1.55,2.6,1.61
1,Brisbane,Brisbane International,2026-01-05,ATP250,Outdoor,Hard,1st Round,3,Opelka R.,Sweeny D.,60.0,183.0,861.0,315.0,6,3,7,5.0,,,,,,,2,0,Completed,1.62,2.3,1.6,2.49,1.62,2.6,1.56,2.39,1.64,2.52
1,Brisbane,Brisbane International,2026-01-05,ATP250,Outdoor,Hard,1st Round,3,Medvedev D.,Fucsovics M.,13.0,54.0,2710.0,949.0,6,2,6,3.0,,,,,,,2,0,Completed,1.29,3.75,1.28,4.03,1.29,3.8,1.26,3.73,1.28,4.3
1,Brisbane,Brisbane International,2026-01-06,ATP250,Outdoor,Hard,1st Round,3,Collignon R.,Shapovalov D.,84.0,23.0,704.0,1665.0,6,4,6,2.0,,,,,,,2,0,Completed,2.1,1.73,2.03,1.86,2.2,1.78,2.06,1.74,2.14,1.86
1,Brisbane,Brisbane International,2026-01-06,ATP250,Outdoor,Hard,1st Round,3,Nakashima B.,Davidovich Fokina A.,33.0,14.0,1380.0,2585.0,7,6,6,4.0,,,,,,,2,0,Completed,2.5,1.53,2.4,1.63,2.5,1.65,2.35,1.57,2.48,1.66
1,Brisbane,Brisbane International,2026-01-06,ATP250,Outdoor,Hard,1st Round,3,Mpetshi G.,Paul T.,67.0,20.0,825.0,2050.0,7,6,3,6.0,7,6,,,,,2,1,Completed,2.75,1.44,2.73,1.51,2.75,1.55,2.64,1.47,2.84,1.52
1,Brisbane,Brisbane International,2026-01-06,ATP250,Outdoor,Hard,1st Round,3,Kovacevic A.,Kyrgios N.,58.0,670.0,877.0,50.0,6,3,6,4.0,,,,,,,2,0,Completed,1.62,2.3,1.6,2.47,1.65,2.5,1.6,2.29,1.59,2.66
1,Brisbane,Brisbane International,2026-01-06,ATP250,Outdoor,Hard,1st Round,3,Norrie C.,Humbert U.,28.0,36.0,1523.0,1355.0,1,6,7,6.0,7,5,,,,,2,1,Completed,2.2,1.67,2.21,1.74,2.2,1.8,2.1,1.72,2.3,1.75
